FolioURN,Sequence,RV,Label,DefaultImageURN
urn:cite:bla:bbb318.1r,1,recto,"Bern, Burgerbibliothek, Cod. 318, 1r",urn:cite:ecodices:bbb318img.bbb318_001r
urn:cite:bla:bbb318.1v,2,verso,"Bern, Burgerbibliothek, Cod. 318, 1v",urn:cite:ecodices:bbb318img.bbb318_001v
urn:cite:bla:bbb318.2r,3,recto,"Bern, Burgerbibliothek, Cod. 318, 2r",urn:cite:ecodices:bbb318img.bbb318_002r
urn:cite:bla:bbb318.2v,4,verso,"Bern, Burgerbibliothek, Cod. 318, 2v",urn:cite:ecodices:bbb318img.bbb318_002v
urn:cite:bla:bbb318.3r,5,recto,"Bern, Burgerbibliothek, Cod. 318, 3r",urn:cite:ecodices:bbb318img.bbb318_003r
urn:cite:bla:bbb318.3v,6,verso,"Bern, Burgerbibliothek, Cod. 318, 3v",urn:cite:ecodices:bbb318img.bbb318_003v
urn:cite:bla:bbb318.4r,7,recto,"Bern, Burgerbibliothek, Cod. 318, 4r",urn:cite:ecodices:bbb318img.bbb318_004r
urn:cite:bla:bbb318.4v,8,verso,"Bern, Burgerbibliothek, Cod. 318, 4v",urn:cite:ecodices:bbb318img.bbb318_004v
urn:cite:bla:bbb318.5r,9,recto,"Bern, Burgerbibliothek, Cod. 318, 5r",urn:cite:ecodices:bbb318img.bbb318_005r
urn:cite:bla:bbb318.5v,10,verso,"Bern, Burgerbibliothek, Cod. 318, 5v",urn:cite:ecodices:bbb318img.bbb318_005v
urn:cite:bla:bbb318.6r,11,recto,"Bern, Burgerbibliothek, Cod. 318, 6r",urn:cite:ecodices:bbb318img.bbb318_006r
urn:cite:bla:bbb318.6v,12,verso,"Bern, Burgerbibliothek, Cod. 318, 6v",urn:cite:ecodices:bbb318img.bbb318_006v
urn:cite:bla:bbb318.7r,13,recto,"Bern, Burgerbibliothek, Cod. 318, 7r",urn:cite:ecodices:bbb318img.bbb318_007r
urn:cite:bla:bbb318.7v,14,verso,"Bern, Burgerbibliothek, Cod. 318, 7v",urn:cite:ecodices:bbb318img.bbb318_007v
urn:cite:bla:bbb318.8r,15,recto,"Bern, Burgerbibliothek, Cod. 318, 8r",urn:cite:ecodices:bbb318img.bbb318_008r
urn:cite:bla:bbb318.8v,16,verso,"Bern, Burgerbibliothek, Cod. 318, 8v",urn:cite:ecodices:bbb318img.bbb318_008v
urn:cite:bla:bbb318.9r,17,recto,"Bern, Burgerbibliothek, Cod. 318, 9r",urn:cite:ecodices:bbb318img.bbb318_009r
urn:cite:bla:bbb318.9v,18,verso,"Bern, Burgerbibliothek, Cod. 318, 9v",urn:cite:ecodices:bbb318img.bbb318_009v
urn:cite:bla:bbb318.10r,19,recto,"Bern, Burgerbibliothek, Cod. 318, 10r",urn:cite:ecodices:bbb318img.bbb318_010r
urn:cite:bla:bbb318.10v,20,verso,"Bern, Burgerbibliothek, Cod. 318, 10v",urn:cite:ecodices:bbb318img.bbb318_010v
urn:cite:bla:bbb318.11r,21,recto,"Bern, Burgerbibliothek, Cod. 318, 11r",urn:cite:ecodices:bbb318img.bbb318_011r
urn:cite:bla:bbb318.11v,22,verso,"Bern, Burgerbibliothek, Cod. 318, 11v",urn:cite:ecodices:bbb318img.bbb318_011v
urn:cite:bla:bbb318.12r,23,recto,"Bern, Burgerbibliothek, Cod. 318, 12r",urn:cite:ecodices:bbb318img.bbb318_012r
urn:cite:bla:bbb318.12v,24,verso,"Bern, Burgerbibliothek, Cod. 318, 12v",urn:cite:ecodices:bbb318img.bbb318_012v
urn:cite:bla:bbb318.13r,25,recto,"Bern, Burgerbibliothek, Cod. 318, 13r",urn:cite:ecodices:bbb318img.bbb318_013r
urn:cite:bla:bbb318.13v,26,verso,"Bern, Burgerbibliothek, Cod. 318, 13v",urn:cite:ecodices:bbb318img.bbb318_013v
urn:cite:bla:bbb318.14r,27,recto,"Bern, Burgerbibliothek, Cod. 318, 14r",urn:cite:ecodices:bbb318img.bbb318_014r
urn:cite:bla:bbb318.14v,28,verso,"Bern, Burgerbibliothek, Cod. 318, 14v",urn:cite:ecodices:bbb318img.bbb318_014v
urn:cite:bla:bbb318.15r,29,recto,"Bern, Burgerbibliothek, Cod. 318, 15r",urn:cite:ecodices:bbb318img.bbb318_015r
urn:cite:bla:bbb318.15v,30,verso,"Bern, Burgerbibliothek, Cod. 318, 15v",urn:cite:ecodices:bbb318img.bbb318_015v
urn:cite:bla:bbb318.16r,31,recto,"Bern, Burgerbibliothek, Cod. 318, 16r",urn:cite:ecodices:bbb318img.bbb318_016r
urn:cite:bla:bbb318.16v,32,verso,"Bern, Burgerbibliothek, Cod. 318, 16v",urn:cite:ecodices:bbb318img.bbb318_016v
urn:cite:bla:bbb318.17r,33,recto,"Bern, Burgerbibliothek, Cod. 318, 17r",urn:cite:ecodices:bbb318img.bbb318_017r
urn:cite:bla:bbb318.17v,34,verso,"Bern, Burgerbibliothek, Cod. 318, 17v",urn:cite:ecodices:bbb318img.bbb318_017v
urn:cite:bla:bbb318.18r,35,recto,"Bern, Burgerbibliothek, Cod. 318, 18r",urn:cite:ecodices:bbb318img.bbb318_018r
urn:cite:bla:bbb318.18v,36,verso,"Bern, Burgerbibliothek, Cod. 318, 18v",urn:cite:ecodices:bbb318img.bbb318_018v
urn:cite:bla:bbb318.19r,37,recto,"Bern, Burgerbibliothek, Cod. 318, 19r",urn:cite:ecodices:bbb318img.bbb318_019r
urn:cite:bla:bbb318.19v,38,verso,"Bern, Burgerbibliothek, Cod. 318, 19v",urn:cite:ecodices:bbb318img.bbb318_019v
urn:cite:bla:bbb318.20r,39,recto,"Bern, Burgerbibliothek, Cod. 318, 20r",urn:cite:ecodices:bbb318img.bbb318_020r
urn:cite:bla:bbb318.20v,40,verso,"Bern, Burgerbibliothek, Cod. 318, 20v",urn:cite:ecodices:bbb318img.bbb318_020v
urn:cite:bla:bbb318.21r,41,recto,"Bern, Burgerbibliothek, Cod. 318, 21r",urn:cite:ecodices:bbb318img.bbb318_021r
urn:cite:bla:bbb318.21v,42,verso,"Bern, Burgerbibliothek, Cod. 318, 21v",urn:cite:ecodices:bbb318img.bbb318_021v
urn:cite:bla:bbb318.22r,43,recto,"Bern, Burgerbibliothek, Cod. 318, 22r",urn:cite:ecodices:bbb318img.bbb318_022r
urn:cite:bla:bbb318.22v,44,verso,"Bern, Burgerbibliothek, Cod. 318, 22v",urn:cite:ecodices:bbb318img.bbb318_022v
urn:cite:bla:bbb318.23r,45,recto,"Bern, Burgerbibliothek, Cod. 318, 23r",urn:cite:ecodices:bbb318img.bbb318_023r
urn:cite:bla:bbb318.23v,46,verso,"Bern, Burgerbibliothek, Cod. 318, 23v",urn:cite:ecodices:bbb318img.bbb318_023v
urn:cite:bla:bbb318.24r,47,recto,"Bern, Burgerbibliothek, Cod. 318, 24r",urn:cite:ecodices:bbb318img.bbb318_024r
urn:cite:bla:bbb318.24v,48,verso,"Bern, Burgerbibliothek, Cod. 318, 24v",urn:cite:ecodices:bbb318img.bbb318_024v
urn:cite:bla:bbb318.25r,49,recto,"Bern, Burgerbibliothek, Cod. 318, 25r",urn:cite:ecodices:bbb318img.bbb318_025r
urn:cite:bla:bbb318.25v,50,verso,"Bern, Burgerbibliothek, Cod. 318, 25v",urn:cite:ecodices:bbb318img.bbb318_025v
urn:cite:bla:bbb318.26r,51,recto,"Bern, Burgerbibliothek, Cod. 318, 26r",urn:cite:ecodices:bbb318img.bbb318_026r
urn:cite:bla:bbb318.26v,52,verso,"Bern, Burgerbibliothek, Cod. 318, 26v",urn:cite:ecodices:bbb318img.bbb318_026v
urn:cite:bla:bbb318.27r,53,recto,"Bern, Burgerbibliothek, Cod. 318, 27r",urn:cite:ecodices:bbb318img.bbb318_027r
urn:cite:bla:bbb318.27v,54,verso,"Bern, Burgerbibliothek, Cod. 318, 27v",urn:cite:ecodices:bbb318img.bbb318_027v
urn:cite:bla:bbb318.28r,55,recto,"Bern, Burgerbibliothek, Cod. 318, 28r",urn:cite:ecodices:bbb318img.bbb318_028r
urn:cite:bla:bbb318.28v,56,verso,"Bern, Burgerbibliothek, Cod. 318, 28v",urn:cite:ecodices:bbb318img.bbb318_028v
urn:cite:bla:bbb318.29r,57,recto,"Bern, Burgerbibliothek, Cod. 318, 29r",urn:cite:ecodices:bbb318img.bbb318_029r
urn:cite:bla:bbb318.29v,58,verso,"Bern, Burgerbibliothek, Cod. 318, 29v",urn:cite:ecodices:bbb318img.bbb318_029v
urn:cite:bla:bbb318.30r,59,recto,"Bern, Burgerbibliothek, Cod. 318, 30r",urn:cite:ecodices:bbb318img.bbb318_030r
urn:cite:bla:bbb318.30v,60,verso,"Bern, Burgerbibliothek, Cod. 318, 30v",urn:cite:ecodices:bbb318img.bbb318_030v
urn:cite:bla:bbb318.31r,61,recto,"Bern, Burgerbibliothek, Cod. 318, 31r",urn:cite:ecodices:bbb318img.bbb318_031r
urn:cite:bla:bbb318.31v,62,verso,"Bern, Burgerbibliothek, Cod. 318, 31v",urn:cite:ecodices:bbb318img.bbb318_031v
urn:cite:bla:bbb318.32r,63,recto,"Bern, Burgerbibliothek, Cod. 318, 32r",urn:cite:ecodices:bbb318img.bbb318_032r
urn:cite:bla:bbb318.32v,64,verso,"Bern, Burgerbibliothek, Cod. 318, 32v",urn:cite:ecodices:bbb318img.bbb318_032v
urn:cite:bla:bbb318.33r,65,recto,"Bern, Burgerbibliothek, Cod. 318, 33r",urn:cite:ecodices:bbb318img.bbb318_033r
urn:cite:bla:bbb318.33v,66,verso,"Bern, Burgerbibliothek, Cod. 318, 33v",urn:cite:ecodices:bbb318img.bbb318_033v
