FolioURN,ImageURN
urn:cite:bla:bbb318.1r,urn:cite:ecodices:bbb318img.bbb318_001r
urn:cite:bla:bbb318.1v,urn:cite:ecodices:bbb318img.bbb318_001v
urn:cite:bla:bbb318.2r,urn:cite:ecodices:bbb318img.bbb318_002r
urn:cite:bla:bbb318.2v,urn:cite:ecodices:bbb318img.bbb318_002v
urn:cite:bla:bbb318.3r,urn:cite:ecodices:bbb318img.bbb318_003r
urn:cite:bla:bbb318.3v,urn:cite:ecodices:bbb318img.bbb318_003v
urn:cite:bla:bbb318.4r,urn:cite:ecodices:bbb318img.bbb318_004r
urn:cite:bla:bbb318.4v,urn:cite:ecodices:bbb318img.bbb318_004v
urn:cite:bla:bbb318.5r,urn:cite:ecodices:bbb318img.bbb318_005r
urn:cite:bla:bbb318.5v,urn:cite:ecodices:bbb318img.bbb318_005v
urn:cite:bla:bbb318.6r,urn:cite:ecodices:bbb318img.bbb318_006r
urn:cite:bla:bbb318.6v,urn:cite:ecodices:bbb318img.bbb318_006v
urn:cite:bla:bbb318.7r,urn:cite:ecodices:bbb318img.bbb318_007r
urn:cite:bla:bbb318.7v,urn:cite:ecodices:bbb318img.bbb318_007v
urn:cite:bla:bbb318.8r,urn:cite:ecodices:bbb318img.bbb318_008r
urn:cite:bla:bbb318.8v,urn:cite:ecodices:bbb318img.bbb318_008v
urn:cite:bla:bbb318.9r,urn:cite:ecodices:bbb318img.bbb318_009r
urn:cite:bla:bbb318.9v,urn:cite:ecodices:bbb318img.bbb318_009v
urn:cite:bla:bbb318.10r,urn:cite:ecodices:bbb318img.bbb318_010r
urn:cite:bla:bbb318.10v,urn:cite:ecodices:bbb318img.bbb318_010v
urn:cite:bla:bbb318.11r,urn:cite:ecodices:bbb318img.bbb318_011r
urn:cite:bla:bbb318.11v,urn:cite:ecodices:bbb318img.bbb318_011v
urn:cite:bla:bbb318.12r,urn:cite:ecodices:bbb318img.bbb318_012r
urn:cite:bla:bbb318.12v,urn:cite:ecodices:bbb318img.bbb318_012v
urn:cite:bla:bbb318.13r,urn:cite:ecodices:bbb318img.bbb318_013r
urn:cite:bla:bbb318.13v,urn:cite:ecodices:bbb318img.bbb318_013v
urn:cite:bla:bbb318.14r,urn:cite:ecodices:bbb318img.bbb318_014r
urn:cite:bla:bbb318.14v,urn:cite:ecodices:bbb318img.bbb318_014v
urn:cite:bla:bbb318.15r,urn:cite:ecodices:bbb318img.bbb318_015r
urn:cite:bla:bbb318.15v,urn:cite:ecodices:bbb318img.bbb318_015v
urn:cite:bla:bbb318.16r,urn:cite:ecodices:bbb318img.bbb318_016r
urn:cite:bla:bbb318.16v,urn:cite:ecodices:bbb318img.bbb318_016v
urn:cite:bla:bbb318.17r,urn:cite:ecodices:bbb318img.bbb318_017r
urn:cite:bla:bbb318.17v,urn:cite:ecodices:bbb318img.bbb318_017v
urn:cite:bla:bbb318.18r,urn:cite:ecodices:bbb318img.bbb318_018r
urn:cite:bla:bbb318.18v,urn:cite:ecodices:bbb318img.bbb318_018v
urn:cite:bla:bbb318.19r,urn:cite:ecodices:bbb318img.bbb318_019r
urn:cite:bla:bbb318.19v,urn:cite:ecodices:bbb318img.bbb318_019v
urn:cite:bla:bbb318.20r,urn:cite:ecodices:bbb318img.bbb318_020r
